date,gm1
20.07.2017,"239,4"
21.07.2017,"240,5"
24.07.2017,"238,7"
25.07.2017,"237,9"
26.07.2017,"238,3"
27.07.2017,"239,1"
28.07.2017,"239,1"
31.07.2017,"238,4"
01.08.2017,"237,4"
02.08.2017,"237,7"
03.08.2017,"237,4"
04.08.2017,"236,8"
07.08.2017,"236,8"
08.08.2017,"237,8"
09.08.2017,"238,4"
10.08.2017,"238,5"
11.08.2017,"237,4"
14.08.2017,"235,1"
15.08.2017,"235,1"
16.08.2017,"235,6"
17.08.2017,"237,1"
18.08.2017,"237,9"
21.08.2017,"236,2"
22.08.2017,"235,9"
23.08.2017,"236,1"
24.08.2017,"236,6"
25.08.2017,236
28.08.2017,236
29.08.2017,235
30.08.2017,"233,3"
31.08.2017,"233,9"
01.09.2017,"235,9"
04.09.2017,"236,8"
05.09.2017,"236,9"
06.09.2017,"236,9"
07.09.2017,"236,5"
08.09.2017,"236,3"
11.09.2017,"236,1"
12.09.2017,"237,7"
13.09.2017,"239,5"
14.09.2017,"239,8"
15.09.2017,"240,7"
18.09.2017,"239,9"
19.09.2017,"240,3"
20.09.2017,"240,5"
21.09.2017,"240,4"
22.09.2017,"241,1"
25.09.2017,"240,8"
26.09.2017,"240,9"
27.09.2017,"240,6"
28.09.2017,241
29.09.2017,"241,7"
02.10.2017,"242,2"
03.10.2017,"244,1"
04.10.2017,"244,5"
05.10.2017,"244,7"
06.10.2017,"245,6"
09.10.2017,"245,6"
10.10.2017,"245,8"
11.10.2017,"245,2"
12.10.2017,"245,1"
13.10.2017,"245,2"
16.10.2017,"246,3"
17.10.2017,"247,2"
18.10.2017,"247,7"
19.10.2017,"247,6"
20.10.2017,"246,1"
23.10.2017,"246,1"
24.10.2017,"247,4"
25.10.2017,"247,3"
26.10.2017,"247,3"
27.10.2017,247
30.10.2017,"249,5"
31.10.2017,"249,4"
01.11.2017,"249,4"
02.11.2017,"250,6"
03.11.2017,"250,8"
06.11.2017,"251,4"
07.11.2017,"252,4"
08.11.2017,"252,9"
09.11.2017,"252,2"
10.11.2017,"251,2"
13.11.2017,"249,3"
14.11.2017,"248,9"
15.11.2017,"247,1"
16.11.2017,"244,5"
17.11.2017,"246,1"
20.11.2017,"246,2"
21.11.2017,"247,3"
22.11.2017,"248,9"
23.11.2017,"249,4"
24.11.2017,"248,6"
27.11.2017,"248,5"
28.11.2017,"247,4"
29.11.2017,"247,9"
30.11.2017,"248,8"
01.12.2017,"248,4"
04.12.2017,"247,4"
05.12.2017,248
06.12.2017,"247,5"
07.12.2017,"246,7"
08.12.2017,"246,7"
11.12.2017,"248,1"
12.12.2017,"249,4"
13.12.2017,250
14.12.2017,"249,9"
15.12.2017,"248,8"
18.12.2017,249
19.12.2017,"250,6"
20.12.2017,"250,6"
21.12.2017,"250,1"
22.12.2017,"250,1"
25.12.2017,"250,1"
26.12.2017,"250,1"
27.12.2017,"250,4"
28.12.2017,"250,6"
29.12.2017,"250,3"
01.01.2018,"250,3"
02.01.2018,250
03.01.2018,"249,6"
04.01.2018,"251,6"
05.01.2018,"253,5"
08.01.2018,255
09.01.2018,"256,8"
10.01.2018,"257,9"
11.01.2018,"257,1"
12.01.2018,"257,6"
15.01.2018,257
16.01.2018,"256,4"
17.01.2018,"257,4"
18.01.2018,"257,7"
19.01.2018,"256,9"
22.01.2018,"257,8"
23.01.2018,"259,1"
24.01.2018,"260,4"
25.01.2018,"260,5"
26.01.2018,"259,1"
29.01.2018,"259,1"
30.01.2018,"259,6"
31.01.2018,"257,2"
01.02.2018,256
02.02.2018,"256,1"
05.02.2018,"253,9"
06.02.2018,"249,1"
07.02.2018,"245,3"
08.02.2018,"245,4"
09.02.2018,"244,4"
12.02.2018,"241,6"
13.02.2018,242
14.02.2018,"242,3"
15.02.2018,"243,8"
16.02.2018,"245,7"
19.02.2018,247
20.02.2018,"248,4"
21.02.2018,"248,7"
22.02.2018,"249,5"
23.02.2018,"249,4"
26.02.2018,"249,8"
27.02.2018,251
28.02.2018,"251,6"
01.03.2018,"250,8"
02.03.2018,"249,2"
05.03.2018,"245,1"
06.03.2018,"244,8"
07.03.2018,"245,4"
08.03.2018,"245,9"
09.03.2018,"247,4"
12.03.2018,"249,9"
13.03.2018,"251,2"
